variant,mean_acc,ci95
reference,0.09984299778938294,0.004710741769312471
teacher,0.9433909797668457,0.0004229621834881939
student_ghost,0.5372719874978066,0.022027076557943448
student_all,0.9124959760904312,0.001972112517610816
xmodel_ghost,0.10015099726617337,0.004825718518997072
xmodel_all,0.7406139814853668,0.00959553296355004
